Rank,Year,Movie,Distributor,Domestic Box Office,International Box Office,Worldwide Box Office
"3,908",2013,Enough Said,Fox Searc…,"$17,550,872","$8,070,577","$25,621,449"
"3,909",1967,Wait Until Dark,,"$17,550,741",,"$17,550,741"
"3,910",2018,"Paul, Apostle of Christ",Sony Pict…,"$17,547,999","$7,981,499","$25,529,498"
"3,911",2007,Hostel: Part II,Lionsgate,"$17,544,812","$16,061,597","$33,606,409"
"3,912",2018,Free Solo,Greenwich,"$17,541,090","$11,070,000","$28,611,090"
"3,913",1984,Hot Dog… The Movie,MGM/UA Cl…,"$17,540,166",,"$17,540,166"
"3,914",1985,Invasion U.S.A.,Cannon,"$17,536,256",,"$17,536,256"
"3,915",2012,Silent Hill: Revelation 3D,Open Road,"$17,530,219","$38,445,453","$55,975,672"
"3,916",1984,Lassiter,Warner Bros.,"$17,513,452",,"$17,513,452"
"3,917",2006,Notes on a Scandal,Fox Searc…,"$17,510,118","$33,068,293","$50,578,411"
"3,918",1998,Disturbing Behavior,MGM,"$17,507,368","$1,506,870","$19,014,238"
"3,919",2015,Dope,Open Road,"$17,506,470","$684,361","$18,190,831"
"3,920",2002,Empire,Universal,"$17,504,595","$990,849","$18,495,444"
"3,921",2017,Father Figures,Warner Bros.,"$17,501,244","$3,537,197","$21,038,441"
"3,922",1988,Johnny Be Good,Orion Pic…,"$17,500,399",,"$17,500,399"
"3,923",1998,The Big Lebowski,Gramercy,"$17,498,804","$28,690,764","$46,189,568"
"3,924",2018,Sorry to Bother You,Annapurna…,"$17,493,096","$792,464","$18,285,560"
"3,925",1970,Beneath the Planet of the Apes,20th Cent…,"$17,489,009",,"$17,489,009"
"3,926",1984,Angel,New World,"$17,488,564",,"$17,488,564"
"3,927",1990,White Palace,Universal,"$17,487,531",,"$17,487,531"
"3,928",2000,Red Planet,Warner Bros.,"$17,480,890","$15,983,079","$33,463,969"
"3,929",1995,Home for the Holidays,Paramount…,"$17,468,887","$4,650,382","$22,119,269"
"3,930",1981,Ragtime,Paramount…,"$17,468,158",,"$17,468,158"
"3,931",1982,My Favorite Year,MGM,"$17,458,105",,"$17,458,105"
"3,932",2017,The Zookeeper’s Wife,Focus Fea…,"$17,445,186","$8,863,563","$26,308,749"
"3,933",2008,The Ruins,Paramount…,"$17,432,844","$5,477,719","$22,910,563"
"3,934",2013,Dark Skies,Weinstein…,"$17,418,667","$10,285,444","$27,704,111"
"3,935",2018,Chappaquiddick,Entertain…,"$17,395,521","$752,570","$18,148,091"
"3,936",1998,Half Baked,Universal,"$17,394,881",,"$17,394,881"
"3,937",2014,Addicted,Lionsgate,"$17,390,770","$108,472","$17,499,242"
"3,938",2005,Roll Bounce,Fox Searc…,"$17,380,866","$52,206","$17,433,072"
"3,939",1996,Extreme Measures,Sony Pict…,"$17,378,193",,"$17,378,193"
"3,940",2016,Masterminds,Relativity,"$17,356,894","$13,493,772","$30,850,666"
"3,941",1987,Born in East L.A.,Universal,"$17,355,263",,"$17,355,263"
"3,942",1987,Masters of the Universe,Cannon,"$17,336,370",,"$17,336,370"
"3,943",2014,A Haunted House 2,Open Road,"$17,329,487","$3,877,374","$21,206,861"
